"quantidade_doadores","total_receita","media_receita","recursos_de_outros_candidatos.comites","recursos_de_partidos","recursos_de_pessoas_físicas","recursos_de_pessoas_juridicas","recursos_proprios","votos","quantidade_despesas","quantidade_fornecedores","media_despesa","sexo"
78,205682.07,2120.43371134021,4217.5,6325.485,184740,5712.07,15230,32580,368,135,646.77402173913,2
102,1119068.74,6148.72934065934,32990.25,6325.485,83906.69,904433.8,97738,54186,843,441,1327.39022538553,2
5,10933.89,841.068461538462,3933.89,6325.485,5000,2000,5019.35,440,13,5,841.068461538462,2
17,2094970.72,33789.8503225806,198970.73,1545000,18000,332999.99,5019.35,125605,359,93,5832.01356545961,2
2,4500,2250,500,4000,4550,28086,5019.35,396,2,2,2250,2
2,4027.15,402.715,4217.5,3673.15,4550,28086,354,121,15,4,268.476666666667,1
22,1817657.03,44333.0982926829,37216.8,1206400,4087,569953.23,5019.35,91103,1661,928,1094.31488260084,2
7,48000,4800,2000,6325.485,30000,28086,16000,5054,42,14,1142.41428571429,2
46,1594943.47,10999.610137931,266609.95,731500,21678.64,575000,154.88,53285,903,228,1802.11902547065,2
3,6345.24,634.524,5745.24,6325.485,600,28086,5019.35,322,10,3,634.524,2
27,12716,410.193548387097,875,6325.485,11011,28086,830,3266,28,12,454.121428571429,2
4,2728,454.666666666667,345,1650,4550,180,553,794,9,6,303.033333333333,1
2,2275.91,455.182,2275.91,6325.485,4550,28086,5019.35,567,5,2,455.182,2
3,4755.4,951.08,4255.4,6325.485,4550,28086,500,1942,5,3,951.08,2
2,4205,2102.5,205,4000,4550,28086,5019.35,181,2,2,2102.5,1
5,5824.88,832.125714285714,4844.88,6325.485,480,500,5019.35,1805,7,5,832.125714285714,2
2,200,100,4217.5,6325.485,200,28086,5019.35,472,2,2,100,1
74,2607639.02,12720.1903414634,85886.02,1259937,487951,763700,10165,129096,3408,1802,765.152767018779,2
1,967.42,241.855,4217.5,967.42,4550,28086,5019.35,962,4,1,241.855,1
2,5757.24,719.655,5737.24,6325.485,4550,28086,20,1024,12,6,477.97,2
1,21484.5,2387.16666666667,4217.5,21484.5,4550,28086,5019.35,2050,24,14,895.1875,2
1,850,850,4217.5,6325.485,4550,28086,850,475,1,1,850,2
40,399362.43,6885.55913793103,37792.43,57000,30700,262300,11570,59362,449,159,888.83706013363,2
4,11700.16,975.013333333333,10476.16,6325.485,1224,28086,5019.35,2885,16,10,731.26,1
21,2540750.36,57744.3263636364,1025,2076842,37720,425163.36,5019.35,191064,195,59,13015.1161025641,2
1,350,175,4217.5,6325.485,4550,28086,350,810,3,2,113.3,2
3,1044.4,149.2,100,812.4,4550,28086,132,294,10,5,104.44,2
1,250,250,4217.5,6325.485,250,28086,5019.35,44,1,1,250,1
4,12785.31,1826.47285714286,8485.31,6325.485,300,28086,4000,562,8,5,1598.16375,2
4,18142.86,1007.93666666667,320,16182.86,1640,28086,5019.35,1668,20,5,907.143,2
2,600,300,4217.5,6325.485,600,28086,5019.35,728,2,2,300,2
5,11780,1472.5,4217.5,3000,4800,28086,3980,1702,13,7,906.153846153846,1
3,6521.25,501.634615384615,866.25,6325.485,200,5455,5019.35,1006,13,5,497.019230769231,2
3,69235,7692.77777777778,135,6325.485,1500,28086,67600,19808,52,19,1330.92692307692,2
4,5800,966.666666666667,3400,6325.485,1800,600,5019.35,828,6,4,966.666666666667,1
20,51998,1857.07142857143,11598,6325.485,36900,28086,3500,8693,27,14,1925.85185185185,2
3,799,266.333333333333,4217.5,99,700,28086,5019.35,316,3,3,266.333333333333,2
7,577519.75,26250.8977272727,107857.75,150000,84000,12662,223000,67558,225,140,2558.72453333333,2
11,203725,12732.8125,4217.5,125000,24424,43301,11000,29557,34,10,5991.91176470588,2
7,182400,20266.6666666667,40000,3000,139400,28086,5019.35,15196,89,46,2264.3395505618,2
4,610,122,4217.5,6325.485,500,28086,110,175,7,5,81.4142857142857,2
40,1021450.17,15245.5249253731,22073.84,40000,121911.33,728357,109108,55340,978,788,1044.21695296524,1
1,2000,1000,2000,6325.485,4550,28086,5019.35,344,2,1,1000,2
7,175799.19,14649.9325,20713.29,75000,11000,6000.9,63085,5985,42,16,4185.40619047619,2
1,885.5,126.5,885.5,6325.485,4550,28086,5019.35,1085,7,1,126.5,2
1,190,190,4217.5,6325.485,190,28086,5019.35,456,3,3,63.3333333333333,1
4,35833.17,5972.195,15783.17,6325.485,20000,28086,50,1070,19,12,1885.95631578947,2
23,3496816,62443.1428571429,4217.5,2845000,170000,481816,5019.35,88250,1767,485,1975.29807583475,2
2,1331.5,443.833333333333,29,1302.5,4550,28086,5019.35,207,3,2,443.833333333333,1
2,1304,652,4217.5,6325.485,1304,28086,5019.35,86,3,3,434.666666666667,2
29,384646.52,6631.83655172414,42908.1,3800,60050,251140,26748.42,29725,265,83,1451.49626415094,1
9,26907,1345.35,4217.5,8950,7872,8160,1925,581,24,12,1121.125,2
3,2531,316.375,4217.5,2331,4550,28086,200,492,8,3,316.375,2
8,262452.5,10935.5208333333,1e+05,28152.5,14300,1e+05,20000,19828,564,154,640.694113475177,2
48,206564.15,4050.27745098039,4217.5,6325.485,41856,156060,8648.15,47157,62,49,3331.67983870968,2
1,1118.57,279.6425,4217.5,1118.57,4550,28086,5019.35,141,4,1,279.6425,2
21,54488,1556.8,1677,6325.485,39616,150,13045,5581,112,39,485.146964285714,2
2,600,300,4217.5,6325.485,600,28086,5019.35,40,2,2,300,1
1,640,213.333333333333,4217.5,6325.485,640,28086,5019.35,970,3,2,213.333333333333,2
90,416779,3688.30973451327,1575,6325.485,139542,82862,192800,99750,212,143,1965.35476415094,2
39,2541347.83,31766.847875,204347.83,101000,250500,310000,1675500,19673,1396,916,1852.48053724928,2
2,290,145,150,6325.485,4550,28086,140,124,2,2,145,1
1,423872.5,13673.3064516129,4217.5,423872.5,4550,28086,5019.35,6577,247,137,1736.32651821862,2
